pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,motor.time,motor.m1,motor.m2,motor.m3,motor.m4,rpy.r,rpy.p,rpy.y,bat.time,bat
1719913591921850983,-0.7246987819671631,-0.16677320003509521,0.937196671962738,1719913591924144581,0.23715168237686157,0.056517940014600754,0.08873489499092102,0.965758204460144,1719913591917115211,-0.558501124382019,0.6523017883300781,-0.029945099726319313,1719913591920978152,-4.576164722442627,-35.497100830078125,23.812307357788086,1719913591920185447,38670.0,54992.0,54968.0,46343.0,11.519091606140137,3.3603463172912598,151.8764190673828,1719913591918267905,3.1143696308135986
1719913591932330575,-0.7288624048233032,-0.1616227924823761,0.9370126128196716,1719913591935316567,0.23533017933368683,0.05955653637647629,0.08743785321712494,0.9661393761634827,1719913591926313333,-0.5400185585021973,0.6636813282966614,-0.03167886286973953,1719913591930626737,-3.8826000690460205,-26.222557067871094,26.328880310058594,1719913591928212911,45017.0,54288.0,54902.0,51923.0,11.457871437072754,3.846177816390991,152.02084350585938,1719913591927246296,3.0932552814483643
1719913591943441690,-0.7288624048233032,-0.1616227924823761,0.9370126128196716,1719913591944549373,0.23533017933368683,0.05955653637647629,0.08743785321712494,0.9661393761634827,1719913591938543237,-0.5209770202636719,0.6724721789360046,-0.03467332944273949,1719913591941818655,-2.6825191974639893,-15.17635440826416,26.208900451660156,1719913591940627705,42924.0,53143.0,54485.0,50686.0,11.392329216003418,4.239532470703125,152.19810485839844,1719913591939757094,3.135483980178833
1719913591951378445,-0.7305602431297302,-0.15971525013446808,0.9370847940444946,1719913591953194507,0.23114831745624542,0.06351011246442795,0.08570153266191483,0.9670522809028625,1719913591947583453,-0.5209770202636719,0.6724721789360046,-0.03467332944273949,1719913591950544320,5.137053489685059,1.0128294229507446,27.52290916442871,1719913591949399806,47184.0,50657.0,51055.0,52770.0,11.392329216003418,4.239532470703125,152.19810485839844,1719913591948417015,3.1196482181549072
1719913591963405338,-0.7382656931877136,-0.14938977360725403,0.9366769194602966,1719913591964302566,0.22879116237163544,0.06333646923303604,0.0865066647529602,0.9675524234771729,1719913591956009470,-0.47216683626174927,0.6808564066886902,-0.03452204912900925,1719913591961648463,11.361030578613281,11.399091720581055,25.676883697509766,1719913591958880043,50775.0,47124.0,48552.0,56428.0,11.29121208190918,4.773426532745361,152.64219665527344,1719913591957629796,3.135483980178833
1719913591972175443,-0.7431986927986145,-0.14227329194545746,0.9362102746963501,1719913591973197924,0.22618328034877777,0.06274566799402237,0.08813562244176865,0.9680569171905518,1719913591967495065,-0.45656728744506836,0.6951265931129456,-0.036428675055503845,1719913591970778175,18.705608367919922,15.512139320373535,26.106889724731445,1719913591969620662,50212.0,53493.0,50572.0,52157.0,11.365153312683105,4.759807109832764,152.91807556152344,1719913591968256196,3.124926805496216
1719913591981997799,-0.7476530075073242,-0.13541093468666077,0.9359819293022156,1719913591983742451,0.22357825934886932,0.06180597469210625,0.0907091498374939,0.9684846997261047,1719913591976300044,-0.43708696961402893,0.7079628705978394,-0.036887455731630325,1719913591979075720,27.10380744934082,18.06450080871582,28.07062339782715,1719913591978114539,48876.0,52203.0,49574.0,50795.0,11.518901824951172,4.681295394897461,153.22547912597656,1719913591977207574,3.124926805496216
1719913591991720020,-0.7573689818382263,-0.11989453434944153,0.9353253841400146,1719913591993433630,0.22081612050533295,0.06116723641753197,0.09392143040895462,0.968852698802948,1719913591986505174,-0.4246908724308014,0.7272814512252808,-0.03770347312092781,1719913591990958500,38.23072814941406,19.710432052612305,28.648178100585938,1719913591989597559,63940.0,46978.0,25693.0,58311.0,11.769691467285156,4.540002346038818,153.53338623046875,1719913591987102400,3.124926805496216
1719913592000391233,-0.7573689818382263,-0.11989453434944153,0.9353253841400146,1719913592002843771,0.22081612050533295,0.06116723641753197,0.09392143040895462,0.968852698802948,1719913591995424443,-0.4087431728839874,0.740761935710907,-0.037880782037973404,1719913591999795075,41.771400451660156,15.409184455871582,27.759008407592773,1719913591998014332,52281.0,51550.0,48997.0,53408.0,12.100611686706543,4.418752193450928,153.8529052734375,1719913591996744230,3.135483980178833
1719913592012228954,-0.7616285681724548,-0.11342236399650574,0.9348238110542297,1719913592012857857,0.21777400374412537,0.060992803424596786,0.09757666289806366,0.9691910147666931,1719913592005506755,-0.39068445563316345,0.7514089941978455,-0.04077673703432083,1719913592011047553,37.355506896972656,-1.7068265676498413,27.11812973022461,1719913592008612918,50583.0,52202.0,54434.0,56478.0,12.49343490600586,4.343054294586182,154.19668579101562,1719913592006148313,3.0932552814483643
1719913592022681173,-0.7643206715583801,-0.10763021558523178,0.9350141286849976,1719913592023424017,0.21534889936447144,0.06221006065607071,0.10041847825050354,0.9693651795387268,1719913592015442858,-0.39068445563316345,0.7514089941978455,-0.04077673703432083,1719913592021459387,31.595151901245117,-18.509836196899414,28.164979934692383,1719913592019082737,46490.0,55277.0,50419.0,44657.0,12.49343490600586,4.343054294586182,154.19668579101562,1719913592016545874,3.10909104347229
1719913592031892291,-0.7688406109809875,-0.09815578162670135,0.9347236752510071,1719913592032780949,0.2126983106136322,0.06462232023477554,0.10312450677156448,0.9695084691047668,1719913592025089928,-0.37053507566452026,0.7611280679702759,-0.04155278578400612,1719913592031178002,31.5228214263916,-31.077360153198242,30.692739486694336,1719913592028000395,61557.0,53151.0,36681.0,53197.0,12.835004806518555,4.43674898147583,154.4504852294922,1719913592026079032,3.098533868789673
1719913592041190290,-0.7720634341239929,-0.09102950990200043,0.934495210647583,1719913592043060541,0.2102629840373993,0.06817733496427536,0.10498148947954178,0.9695969223976135,1719913592035141166,-0.3372833728790283,0.7969115972518921,-0.04868124797940254,1719913592039357548,28.657716751098633,-40.28219223022461,29.407947540283203,1719913592037002640,61304.0,52990.0,37297.0,53385.0,13.482954025268555,5.052103042602539,154.9314422607422,1719913592036101399,3.098533868789673
1719913592051342244,-0.7752127051353455,-0.08431706577539444,0.9340049624443054,1719913592052189181,0.2079927772283554,0.07249786704778671,0.10631155967712402,0.9696282744407654,1719913592046796246,-0.318920761346817,0.8097189664840698,-0.05024517700076103,1719913592050349096,19.10150718688965,-57.73818588256836,27.896982192993164,1719913592048888847,45674.0,55079.0,55460.0,50207.0,13.734844207763672,5.530055046081543,155.11962890625,1719913592047851458,3.1143696308135986
1719913592060592476,-0.7779800891876221,-0.07724936306476593,0.9338854551315308,1719913592062962293,0.205902561545372,0.0787239670753479,0.10641855001449585,0.9695770740509033,1719913592054921346,-0.318920761346817,0.8097189664840698,-0.05024517700076103,1719913592059449713,8.20986557006836,-71.97271728515625,28.57598114013672,1719913592058185085,47893.0,52082.0,59546.0,51338.0,13.734844207763672,5.530055046081543,155.11962890625,1719913592056024773,3.098533868789673
1719913592070737560,-0.7819675207138062,-0.06841788440942764,0.933069109916687,1719913592073333400,0.20397737622261047,0.08502109348773956,0.10571560263633728,0.9695291519165039,1719913592065277222,-0.2961203455924988,0.822524905204773,-0.05060037970542908,1719913592069462231,2.5972063541412354,-80.71611022949219,27.612470626831055,1719913592068054003,39193.0,54513.0,60795.0,44347.0,13.898831367492676,6.248116493225098,155.2588653564453,1719913592066221292,3.098533868789673
1719913592080374757,-0.7847412824630737,-0.059622831642627716,0.9327141642570496,1719913592081629074,0.20218074321746826,0.0929555594921112,0.10410942137241364,0.9693509936332703,1719913592075198330,-0.28060382604599,0.8417468070983887,-0.054599035531282425,1719913592080077217,-1.4826961755752563,-84.56130981445312,28.742015838623047,1719913592077906825,59543.0,55642.0,47864.0,52225.0,13.973306655883789,6.992167949676514,155.37991333007812,1719913592076948464,3.1038124561309814
