send_msg.time,send_msg.r,send_msg.p,send_msg.y,send_msg.thrust
1716287322958505754,0.5825884966179729,-1.9631356000900269,0.0,45176.40234375
1716287322968995790,-1.688916441053152,-0.2123717567883432,0.0,45152.7841796875
1716287322979608172,1.9521422311663628,-10.770208463072777,0.0,44006.3828125
1716287322990594956,1.8223581835627556,-6.908981502056122,0.0,44119.3427734375
1716287323001113384,1.2744509428739548,-7.209724858403206,0.0,43764.7509765625
1716287323011499495,4.220800548791885,-9.391088336706161,0.0,43921.8828125
1716287323022308699,2.2334658913314342,-7.015349194407463,0.0,44125.0400390625
1716287323032563951,8.617183864116669,-8.915278539061546,0.0,43976.4287109375
1716287323043449895,1.271074041724205,-4.1783710196614265,0.0,43681.703125
1716287323053961161,1.5652647614479065,-8.099848106503487,0.0,43809.93359375
1716287323064530455,6.237151846289635,-8.30675907433033,0.0,43967.4873046875
1716287323074839275,5.057122707366943,-6.414402276277542,0.0,44097.521484375
1716287323083351138,2.120845802128315,-7.953663691878319,0.0,43835.9169921875
1716287323095794432,3.8251961767673492,-6.334584429860115,0.0,43941.97265625
1716287323106682729,3.895781524479389,-5.935817733407021,0.0,44232.3515625
1716287323117503066,1.162136709317565,-4.414271302521229,0.0,43796.2294921875
1716287323127469566,3.361446261405945,-4.417434968054295,0.0,43904.0146484375
1716287323138370759,9.130856394767761,-4.707961119711399,0.0,44429.271484375
1716287323149156127,3.7480759620666504,-0.9703959804028273,0.0,43850.0810546875
1716287323159827610,1.6084922477602959,-1.3395662605762482,0.0,43817.6669921875
1716287323170267883,4.618236869573593,-2.194255515933037,0.0,43986.2373046875
1716287323180755872,8.230236992239952,-3.1643146276474,0.0,44378.2314453125
1716287323191327293,1.5447245724499226,-2.211017142981291,0.0,43965.353515625
1716287323202149062,2.097474541515112,0.3802532935515046,0.0,43712.0322265625
1716287323212703650,2.07433445379138,-1.497388780117035,0.0,43979.013671875
1716287323223066203,8.650180399417877,-0.21399030229076743,0.0,44348.69140625
1716287323233876176,-1.6082987934350967,0.21990725537762046,0.0,43884.7255859375
1716287323244618700,1.0179232154041529,-2.1140728890895844,0.0,44012.4677734375
1716287323255393675,4.135301448404789,-0.470950473099947,0.0,44221.8740234375
1716287323265681115,-0.07895886374171823,3.048519305884838,0.0,44126.5458984375
1716287323276484974,3.0376701056957245,-2.263391464948654,0.0,44158.3388671875
1716287323286728972,-2.837009020149708,2.697537001222372,0.0,43953.888671875
1716287323297223045,3.1912503764033318,2.6664678007364273,0.0,44383.10546875
1716287323308206313,-4.267190359532833,4.3049390986561775,0.0,43931.6728515625
1716287323318701457,-3.625234141945839,-0.04488182254135609,0.0,44012.1162109375
1716287323329512554,1.8760164454579353,0.4825363587588072,0.0,44230.2822265625
1716287323340234871,-5.906082093715668,5.127190724015236,0.0,44258.564453125
1716287323350979600,4.496077671647072,0.7794731575995684,0.0,44292.5556640625
1716287323361369772,-4.034172110259533,3.920820951461792,0.0,43922.921875
1716287323372023834,-5.467536896467209,-0.21325688576325774,0.0,44039.8232421875
1716287323376637196,2.210770547389984,30.00055342912674,0.0,45461.1162109375
1716287323382139515,-5.819757208228111,4.001216813921928,0.0,44025.9619140625
1716287323393387967,-2.541628573089838,1.6853348538279533,0.0,44028.1025390625
1716287323403839443,1.6367466375231743,-0.9456303063780069,0.0,44260.99609375
1716287323414202100,5.7017782330513,11.226893439888954,0.0,43769.171875
1716287323424944571,-6.485409066081047,-2.1076655946671963,0.0,44552.0341796875
1716287323435697628,10.341291055083275,6.377373039722443,0.0,43370.419921875
1716287323445961467,-9.483358338475227,-0.9055918827652931,0.0,44506.099609375
1716287323456733297,-2.6766709238290787,3.2669832184910774,0.0,44459.064453125
1716287323467344074,-5.141205936670303,0.2562075387686491,0.0,44062.8212890625
1716287323477218865,0.27550976257771254,-2.5117397122085094,0.0,44310.025390625
1716287323488084241,-1.4366528391838074,5.372595749795437,0.0,43916.439453125
1716287323498500345,-3.7804294377565384,1.8621259555220604,0.0,44368.0478515625
